feedback_id,merchant_id,timestamp,text,sentiment_label,category,priority,resolved
FB000000,M57C0531E13F4,2025-10-20,Transaction fees are higher than competitors. Need better rates for our volume. Reference: TKT59618,negative,account,high,True
FB000001,M6BE5336DB2C1,2025-08-22,The API integration was smooth and the documentation was very helpful. Reference: TKT48339,positive,account,low,True
FB000002,MCD3AFEF9B8B8,2025-04-09,Great experience with the checkout process. Our conversion rate improved significantly.,positive,general,high,False
FB000003,M7C590F014901,2025-05-27,Requesting documentation for webhook implementation.,neutral,technical,low,False
FB000004,M83691715FDC5,2025-06-09,Customer support resolved our issue quickly. Very satisfied with the service.,positive,account,high,True
FB000005,M5848AD959570,2026-01-14,Integration issues caused downtime for our checkout.,negative,features,low,True
FB000006,MDB6EBD056699,2025-12-21,Looking for information about enterprise pricing options. Reference: TKT34317,neutral,features,low,False
FB000007,MDFD7468AC613,2025-12-30,General question about account verification process.,neutral,disputes,medium,True
FB000008,M6F3EF77AC0E3,2025-01-30,The dispute resolution process took too long and we lost money.,negative,account,medium,True
FB000009,M88FEE0421317,2025-08-28,General question about account verification process.,neutral,disputes,low,True
FB000010,MA63FC8C5D915,2025-02-08,Transaction fees are higher than competitors. Need better rates for our volume.,negative,disputes,low,True
FB000011,MF61D6947467C,2025-05-01,Funds were held for too long without clear explanation. Reference: TKT55876,negative,billing,low,True
FB000012,MC559DA2BA967,2025-05-03,Funds were held for too long without clear explanation. Reference: TKT49114,negative,technical,medium,True
FB000013,M819C9FBFB075,2025-07-26,General question about account verification process.,neutral,account,low,True
FB000014,M758874998F5B,2025-06-23,Funds were held for too long without clear explanation.,negative,general,low,True
FB000015,M69D1FC78DBDA,2025-12-26,Great experience with the checkout process. Our conversion rate improved significantly. Reference: TKT63265,positive,technical,high,False
FB000016,M731C83DB8D2F,2025-03-14,Looking for information about enterprise pricing options.,neutral,technical,medium,False
FB000017,MC3A690BE93AA,2025-11-07,Integration issues caused downtime for our checkout. Reference: TKT95429,negative,general,medium,False
FB000018,M4B6538A44A1D,2025-10-02,Customer support response time needs improvement. Reference: TKT63789,negative,billing,low,True
FB000019,MF033AB37C302,2025-10-11,The API integration was smooth and the documentation was very helpful.,positive,features,low,True
FB000020,MEC8CE6ABB3E9,2025-11-04,The API integration was smooth and the documentation was very helpful. Reference: TKT52665,positive,billing,low,True
FB000021,M0663A4DDCEAC,2025-05-20,The dispute resolution process took too long and we lost money. Reference: TKT16995,negative,billing,low,True
FB000022,MEED5AF6ADD95,2025-07-07,Transaction fees are higher than competitors. Need better rates for our volume. Reference: TKT82931,negative,billing,low,True
FB000023,M621BF66DDB7C,2025-04-19,General question about account verification process.,neutral,features,high,True
FB000024,M1E6E0A04D20F,2025-07-27,Requesting documentation for webhook implementation.,neutral,general,medium,False
FB000025,M6E7B33FDEA3A,2025-06-24,PayPal has been instrumental in helping us expand internationally. Reference: TKT24062,positive,disputes,medium,False
FB000026,M72DA7FD6D130,2025-05-13,The API integration was smooth and the documentation was very helpful.,positive,general,high,False
FB000027,M41A60377BA92,2025-09-04,Funds were held for too long without clear explanation.,negative,features,medium,True
FB000028,MFE8C15FED5F8,2025-05-28,Customer support resolved our issue quickly. Very satisfied with the service.,positive,disputes,medium,True
FB000029,M4B29FA4EFE4F,2025-11-09,General question about account verification process.,neutral,billing,low,True
FB000030,M5CF21CE30208,2025-09-25,PayPal has been instrumental in helping us expand internationally. Reference: TKT83141,positive,features,low,False
FB000031,MA38B16173474,2025-02-04,Looking for information about enterprise pricing options. Reference: TKT10402,neutral,billing,low,False
FB000032,ME2F9247929B4,2025-10-21,Integration issues caused downtime for our checkout.,negative,technical,high,True
FB000033,M82965D4ED815,2025-03-02,Transaction fees are higher than competitors. Need better rates for our volume. Reference: TKT99219,negative,billing,low,False
FB000034,M02A32AD2669E,2025-02-22,PayPal has been instrumental in helping us expand internationally.,positive,billing,low,True
FB000035,MFE131D7F5A6B,2025-07-03,Need clarification on the cross-border fee structure.,neutral,features,low,True
FB000036,M757B505CFD34,2026-01-07,The dispute resolution process took too long and we lost money.,negative,technical,low,False
FB000037,M18EAD4C77C3F,2025-02-10,Customer support resolved our issue quickly. Very satisfied with the service. Reference: TKT33540,positive,general,high,True
FB000038,M13F9896DF612,2025-02-27,General question about account verification process.,neutral,account,low,False
FB000039,MB7EE6F5F9AA5,2026-01-10,Requesting documentation for webhook implementation.,neutral,account,medium,True
FB000040,M4E9CEC1F5830,2025-12-08,PayPal has been instrumental in helping us expand internationally.,positive,billing,medium,True
FB000041,MC1FEA270C48E,2025-08-23,Need clarification on the cross-border fee structure.,neutral,features,low,True
FB000042,MDB2B4182156B,2025-04-30,Integration issues caused downtime for our checkout.,negative,billing,medium,True
FB000043,M88BFCF02E7F5,2025-12-02,Customer support response time needs improvement. Reference: TKT35798,negative,account,high,False
FB000044,M69CB3EA317A3,2025-03-30,The API integration was smooth and the documentation was very helpful.,positive,features,low,True
FB000045,MD77F00766FD3,2025-04-01,Great experience with the checkout process. Our conversion rate improved significantly. Reference: TKT80998,positive,billing,medium,True
FB000046,M228BBC2F87CA,2025-10-06,Transaction fees are higher than competitors. Need better rates for our volume.,negative,features,low,True
FB000047,M03CF87174DEB,2025-11-30,Funds were held for too long without clear explanation.,negative,features,low,True
